ID,sample,genotype,treatment,tissue
ERR10359863,ire1dm_dmso_root_rep1_p,ire1,dmso,root
ERR10359864,ire1dm_dmso_root_rep2_p,ire1,dmso,root
ERR10359865,ire1dm_dmso_root_rep3_p,ire1,dmso,root
ERR10359866,ire1dm_dmso_root_rep4_p,ire1,dmso,root
ERR10359867,ire1dm_dmso_root_rep8_p,ire1,dmso,root
ERR10359868,ire1dm_dmso_shoot_rep3_p,ire1,dmso,shoot
ERR10359869,ire1dm_dmso_shoot_rep5_p,ire1,dmso,shoot
ERR10359870,ire1dm_dmso_shoot_rep6_p,ire1,dmso,shoot
ERR10359871,ire1dm_dmso_shoot_rep7_p,ire1,dmso,shoot
ERR10359872,ire1dm_dmso_shoot_rep8_p,ire1,dmso,shoot
ERR10359873,ire1dm_tm_root_rep1_p,ire1,tm,root
ERR10359874,ire1dm_tm_root_rep2_p,ire1,tm,root
ERR10359875,ire1dm_tm_root_rep3_p,ire1,tm,root
ERR10359876,ire1dm_tm_root_rep4_p,ire1,tm,root
ERR10359877,ire1dm_tm_root_rep6_p,ire1,tm,root
ERR10359878,ire1dm_tm_shoot_rep1_p,ire1,tm,shoot
ERR10359879,ire1dm_tm_shoot_rep2_p,ire1,tm,shoot
ERR10359880,ire1dm_tm_shoot_rep4_p,ire1,tm,shoot
ERR10359881,ire1dm_tm_shoot_rep6_p,ire1,tm,shoot
ERR10359882,ire1dm_tm_shoot_rep7_p,ire1,tm,shoot
ERR10359883,wt_dmso_root_rep1_p,wt,dmso,root
ERR10359884,wt_dmso_root_rep2_p,wt,dmso,root
ERR10359885,wt_dmso_root_rep3_p,wt,dmso,root
ERR10359886,wt_dmso_root_rep4_p,wt,dmso,root
ERR10359887,wt_dmso_root_rep7_p,wt,dmso,root
ERR10359888,wt_dmso_shoot_rep2_p,wt,dmso,shoot
ERR10359889,wt_dmso_shoot_rep4_p,wt,dmso,shoot
ERR10359890,wt_dmso_shoot_rep5_p,wt,dmso,shoot
ERR10359891,wt_dmso_shoot_rep6_p,wt,dmso,shoot
ERR10359892,wt_dmso_shoot_rep7_p,wt,dmso,shoot
ERR10359893,wt_tm_root_rep1_p,wt,tm,root
ERR10359894,wt_tm_root_rep2_p,wt,tm,root
ERR10359895,wt_tm_root_rep4_p,wt,tm,root
ERR10359896,wt_tm_root_rep6_p,wt,tm,root
ERR10359897,wt_tm_root_rep7_p,wt,tm,root
ERR10359898,wt_tm_shoot_rep4_p,wt,tm,shoot
ERR10359899,wt_tm_shoot_rep5_p,wt,tm,shoot
ERR10359900,wt_tm_shoot_rep6_p,wt,tm,shoot
ERR10359901,wt_tm_shoot_rep7_p,wt,tm,shoot
ERR10359902,wt_tm_shoot_rep8_p,wt,tm,shoot